year_month,fiscal_year,variable_name,n,min_reported,max_reported,table_date,file_date
2026_02,2026,bond_set_by_ice,95,,,2026-02-07,2026-02-13
2020_10,2021,bond_set_by_ij,913,913,914,2021-09-25,2021-10-02
2020_11,2021,bond_set_by_ij,743,743,744,2021-09-25,2021-10-02
2020_12,2021,bond_set_by_ij,720,720,722,2021-09-25,2021-10-02
2021_01,2021,bond_set_by_ij,651,651,652,2021-09-25,2021-10-02
2021_02,2021,bond_set_by_ij,557,557,559,2021-09-25,2021-10-02
2021_03,2021,bond_set_by_ij,514,513,514,2021-09-25,2021-10-02
2021_04,2021,bond_set_by_ij,528,527,528,2021-09-25,2021-10-02
2021_05,2021,bond_set_by_ij,688,688,688,2021-09-25,2021-10-02
2021_06,2021,bond_set_by_ij,1053,1048,1053,2021-09-25,2021-10-02
2021_07,2021,bond_set_by_ij,935,935,935,2021-09-25,2021-10-02
2021_08,2021,bond_set_by_ij,543,543,543,2021-09-25,2021-10-02
2021_09,2021,bond_set_by_ij,497,,,2021-09-25,2021-10-02
2021_10,2022,bond_set_by_ij,802,801,802,2022-09-24,2022-09-30
2021_11,2022,bond_set_by_ij,930,930,931,2022-09-24,2022-09-30
2021_12,2022,bond_set_by_ij,749,745,749,2022-09-24,2022-09-30
2022_01,2022,bond_set_by_ij,468,468,472,2022-09-24,2022-09-30
2022_02,2022,bond_set_by_ij,808,807,808,2022-09-24,2022-09-30
2022_03,2022,bond_set_by_ij,833,833,834,2022-09-24,2022-09-30
2022_04,2022,bond_set_by_ij,976,976,976,2022-09-24,2022-09-30
2022_05,2022,bond_set_by_ij,1334,1328,1337,2022-09-24,2022-09-30
2022_06,2022,bond_set_by_ij,1329,1325,1329,2022-09-24,2022-09-30
2022_07,2022,bond_set_by_ij,1254,1254,1254,2022-09-24,2022-09-30
2022_08,2022,bond_set_by_ij,1489,1489,1489,2022-09-24,2022-09-30
2022_09,2022,bond_set_by_ij,958,,,2022-09-24,2022-09-30
2022_10,2023,bond_set_by_ij,1094,1094,1098,2023-10-03,2023-11-08
2022_11,2023,bond_set_by_ij,1399,1398,1401,2023-10-03,2023-11-08
2022_12,2023,bond_set_by_ij,832,831,833,2023-10-03,2023-11-08
2023_01,2023,bond_set_by_ij,441,441,442,2023-10-03,2023-11-08
2023_02,2023,bond_set_by_ij,549,548,549,2023-10-03,2023-11-08
2023_03,2023,bond_set_by_ij,678,670,678,2023-10-03,2023-11-08
2023_04,2023,bond_set_by_ij,548,546,548,2023-10-03,2023-11-08
2023_05,2023,bond_set_by_ij,600,597,600,2023-10-03,2023-11-08
2023_06,2023,bond_set_by_ij,663,656,663,2023-10-03,2023-11-08
2023_07,2023,bond_set_by_ij,716,714,716,2023-10-03,2023-11-08
2023_08,2023,bond_set_by_ij,933,932,933,2023-10-03,2023-11-08
2023_09,2023,bond_set_by_ij,585,585,585,2023-10-03,2023-11-08
2023_10,2024,bond_set_by_ij,647,641,647,2024-10-03,2024-10-01
2023_11,2024,bond_set_by_ij,577,572,577,2024-10-03,2024-10-01
2023_12,2024,bond_set_by_ij,621,618,621,2024-10-03,2024-10-01
2024_01,2024,bond_set_by_ij,565,565,565,2024-10-03,2024-10-01
2024_02,2024,bond_set_by_ij,649,647,649,2024-10-03,2024-10-01
2024_03,2024,bond_set_by_ij,771,770,771,2024-10-03,2024-10-01
2024_04,2024,bond_set_by_ij,763,760,763,2024-10-03,2024-10-01
2024_05,2024,bond_set_by_ij,687,679,687,2024-10-03,2024-10-01
2024_06,2024,bond_set_by_ij,731,731,731,2024-10-03,2024-10-01
2024_07,2024,bond_set_by_ij,811,809,811,2024-10-03,2024-10-01
2024_08,2024,bond_set_by_ij,758,757,758,2024-10-03,2024-10-01
2024_09,2024,bond_set_by_ij,652,652,652,2024-10-03,2024-10-01
2024_10,2025,bond_set_by_ij,800,799,800,2025-09-20,2025-10-30
2024_11,2025,bond_set_by_ij,561,556,561,2025-09-20,2025-10-30
2024_12,2025,bond_set_by_ij,692,689,692,2025-09-20,2025-10-30
2025_01,2025,bond_set_by_ij,528,523,528,2025-09-20,2025-10-30
